,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
155,1,Pier 38,37.78268825237509,-122.3881178469651,2065,0,0,0,0,0,0,1,0
121,1,Tacobar,37.788702,-122.433968,2065,0,0,0,0,0,1,0,0
17,1,The Italian Homemade Company,37.79762809814768,-122.4309938003278,2080,0,0,0,1,0,0,0,0
66,1,Pizzeria Delfina,37.7889177627653,-122.43430656653575,2095,0,0,0,1,0,0,0,0
158,1,Dbc Restaurant,37.77974,-122.432106,2126,0,0,1,0,0,0,0,0
208,1,The Blue Light,37.797538855486714,-122.43183615647177,2140,0,0,0,0,0,1,0,0
98,1,Berry Sand Volleyball Court,37.771692,-122.397977,2152,1,0,0,0,0,0,0,0
3,1,The Bay Lights,37.79070705517322,-122.3861658090027,2157,0,0,0,0,0,0,1,0
232,1,Chennai kings,37.807291601841484,-122.41598382497662,2168,0,0,1,0,0,0,0,0
16,1,Jackson Fillmore,37.79259770938566,-122.43457540756175,2171,0,0,0,1,0,0,0,0
133,1,El Tonayense Taco Truck,37.76890454450739,-122.41361282156704,2176,0,0,0,0,0,1,0,0
65,1,La Canasta,37.79771034923436,-122.43224708902292,2181,0,0,0,0,0,1,0,0
7,1,Flores,37.7976161048577,-122.43258059024868,2201,0,0,0,0,0,1,0,0
162,1,South Beach Yacht Club,37.77992121386115,-122.38774326797153,2208,1,0,0,0,0,0,0,0
76,1,Pink Onion,37.76868691379725,-122.41478608619899,2215,0,0,0,1,0,0,0,0
272,1,Lou's Fish Shack,37.80793794184086,-122.41773128455911,2276,0,0,0,1,0,0,0,0
173,1,The Pub at Ghirardelli Square,37.80634592585518,-122.42275001733996,2279,1,0,0,0,0,0,0,0
136,1,Cioppino's,37.80783523898946,-122.41920093457993,2305,0,0,0,1,0,0,0,0
0,1,Tadu Ethiopian Kitchen,37.77394977617469,-122.39154316347648,2309,0,1,0,0,0,0,0,0
14,1,Aquatic Park,37.80671490887718,-122.42289324933841,2321,1,0,0,0,0,0,0,0
